C10025873,1,A1,1322
C10025873,2,A1,481
C10025873,3,A1,266
C10025873,4,E,590
C10025873,5,E,333
C10025873,6,E,187
C10026138,1,A1,394
C10026138,2,A1,264
C10026138,3,A2,465
C10026138,4,A2,299
C10026138,5,E',592
C10026138,6,E',273
C10026138,7,E',100
C10026138,8,E'',282
C10035106,1,&Sigma;,2559
C10544726,1,Ag,1383
C10544726,2,Ag,807
C10544726,3,Ag,265
C10544726,4,Au,82
C10544726,5,B1u,1261
C10544726,6,B1u,755
C10544726,7,B2g,657
C10544726,8,B2u,1757
C10544726,9,B2u,265
C10544726,10,B3g,1718
C10544726,11,B3g,480
C10544726,12,B3u,425
C107222,1,Ag,2843
C107222,2,Ag,1745
C107222,3,Ag,1338
C107222,4,Ag,1065
C107222,5,Ag,551
C107222,6,Au,801
C107222,7,Au,127
C107222,8,Bg,1048
C107222,9,Bu,2835
C107222,10,Bu,1732
C107222,11,Bu,1312
C107222,12,Bu,339
C108907,1,A1,3084
C108907,2,A1,3054
C108907,3,A1,3031
C108907,4,A1,1586
C108907,5,A1,1483
C108907,6,A1,1174
C108907,7,A1,1092
C108907,8,A1,1025
C108907,9,A1,1003
C108907,10,A1,706
C108907,11,A1,417
C108907,12,A2,961
C108907,13,A2,832
C108907,14,A2,403
C108907,15,B1,981
C108907,16,B1,902
C108907,17,B1,741
C108907,18,B1,685
C108907,19,B1,467
C108907,20,B1,198
C108907,21,B2,3098
C108907,22,B2,3067
C108907,23,B2,1598
C108907,24,B2,1448
C108907,25,B2,1326
C108907,26,B2,1271
C108907,27,B2,1157
C108907,28,B2,1068
C108907,29,B2,615
C108907,30,B2,295
C109773,1,A1,2935
C109773,2,A1,2275
C109773,3,A1,1395
C109773,4,A1,890
C109773,5,A1,582
C109773,6,A1,167
C109773,7,A2,1220
C109773,8,A2,367
C109773,9,B1,2968
C109773,10,B1,933
C109773,11,B1,337
C109773,12,B2,2275
C109773,13,B2,1318
C109773,14,B2,982
C109773,15,B2,366
C109977,1,A1,3531
C109977,2,A1,3149
C109977,3,A1,3128
C109977,4,A1,1472
C109977,5,A1,1401
C109977,6,A1,1148
C109977,7,A1,1075
C109977,8,A1,1017
C109977,9,A1,882
C109977,10,A2,864
C109977,11,A2,692
C109977,12,A2,614
C109977,13,B1,827
C109977,14,B1,722
C109977,15,B1,621
C109977,16,B1,475
C109977,17,B2,3143
C109977,18,B2,3119
C109977,19,B2,1519
C109977,20,B2,1424
C109977,21,B2,1288
C109977,22,B2,1134
C109977,23,B2,1049
C109977,24,B2,866
C110009,1,A1,3161
C110009,2,A1,3140
C110009,3,A1,1491
C110009,4,A1,1384
C110009,5,A1,1140
C110009,6,A1,1066
C110009,7,A1,995
C110009,8,A1,871
C110009,9,A2,838
C110009,10,A2,728
C110009,11,A2,603
C110009,12,B1,863
C110009,13,B1,745
C110009,14,B1,613
C110009,15,B2,3154
C110009,16,B2,3129
C110009,17,B2,1556
C110009,18,B2,1267
C110009,19,B2,1180
C110009,20,B2,1040
C110009,21,B2,873
C110827,1,A1g,2930
C110827,2,A1g,2852
C110827,3,A1g,1465
C110827,4,A1g,1157
C110827,5,A1g,802
C110827,6,A1g,383
C110827,7,A1u,1383
C110827,8,A1u,1157
C110827,9,A1u,1057
C110827,10,A2g,1437
C110827,11,A2g,1090
C110827,12,A2u,2915
C110827,13,A2u,2860
C110827,14,A2u,1437
C110827,15,A2u,1030
C110827,16,A2u,523
C110827,17,Eg,2930
C110827,18,Eg,2897
C110827,19,Eg,1443
C110827,20,Eg,1347
C110827,21,Eg,1266
C110827,22,Eg,1027
C110827,23,Eg,785
C110827,24,Eg,426
C110827,25,Eu,2933
C110827,26,Eu,2863
C110827,27,Eu,1457
C110827,28,Eu,1355
C110827,29,Eu,1261
C110827,30,Eu,907
C110827,31,Eu,863
C110827,32,Eu,248
C115106,1,A1,2996
C115106,2,A1,2817
C115106,3,A1,1464
C115106,4,A1,1452
C115106,5,A1,1244
C115106,6,A1,928
C115106,7,A1,418
C115106,8,A2,2952
C115106,9,A2,1464
C115106,10,A2,1150
C115106,11,A2,203
C115106,12,B1,2925
C115106,13,B1,1464
C115106,14,B1,1179
C115106,15,B1,242
C115106,16,B2,2996
C115106,17,B2,2817
C115106,18,B2,1464
C115106,19,B2,1452
C115106,20,B2,1227
C115106,21,B2,1102
C116143,1,Ag,1872
C116143,2,Ag,778
C116143,3,Ag,394
C116143,4,Au,190
C116143,5,B1u,1186
C116143,6,B1u,558
C116143,7,B2g,508
C116143,8,B2u,1337
C116143,9,B2u,218
C116143,10,B3g,1340
C116143,11,B3g,551
C116143,12,B3u,406
C12185103,1,A1,601
C12185103,2,E,361
C12185103,3,T2,467
C124403,1,A',3335
C124403,2,A',2912
C124403,3,A',2855
C124403,4,A',2802
C124403,5,A',1496
C124403,6,A',1496
C124403,7,A',1404
C124403,8,A',1245
C124403,9,A',1155
C124403,10,A',930
C124403,12,A',383
C124403,13,A',230
C124403,14,A'',2967
C124403,15,A'',2967
C124403,16,A'',2802
